name,column,value,expected_range
Radeon Instinct MI300A,tdp_w,750.0,"[0.0, 700.0]"
Radeon Instinct MI300X,tdp_w,750.0,"[0.0, 700.0]"
Radeon Instinct MI308X,tdp_w,750.0,"[0.0, 700.0]"
Radeon Instinct MI325X,tdp_w,1000.0,"[0.0, 700.0]"
Radeon Instinct MI350X,tdp_w,1000.0,"[0.0, 700.0]"
Radeon Instinct MI355X,tdp_w,1400.0,"[0.0, 700.0]"
Radeon Instinct MI250,memory_mb,131072.0,"[0.0, 65536.0]"
Radeon Instinct MI250X,memory_mb,131072.0,"[0.0, 65536.0]"
Radeon Instinct MI300,memory_mb,131072.0,"[0.0, 65536.0]"
Radeon Instinct MI300A,memory_mb,196608.0,"[0.0, 65536.0]"
Radeon Instinct MI300X,memory_mb,196608.0,"[0.0, 65536.0]"
Radeon Instinct MI308X,memory_mb,196608.0,"[0.0, 65536.0]"
Radeon Instinct MI325X,memory_mb,294912.0,"[0.0, 65536.0]"
Radeon Instinct MI350X,memory_mb,294912.0,"[0.0, 65536.0]"
Radeon Instinct MI355X,memory_mb,294912.0,"[0.0, 65536.0]"
Data Center GPU Max 1350,memory_mb,98304.0,"[0.0, 65536.0]"
Data Center GPU Max 1550,memory_mb,131072.0,"[0.0, 65536.0]"
A100 SXM4 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
A100 PCIe 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
A100X,memory_mb,81920.0,"[0.0, 65536.0]"
A800 PCIe 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
A800 SXM4 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
H100 PCIe 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
H100 SXM5 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
H100 CNX,memory_mb,81920.0,"[0.0, 65536.0]"
H100 NVL 94 GB,memory_mb,96256.0,"[0.0, 65536.0]"
H100 PCIe 96 GB,memory_mb,98304.0,"[0.0, 65536.0]"
H100 SXM5 94 GB,memory_mb,96256.0,"[0.0, 65536.0]"
H100 SXM5 96 GB,memory_mb,98304.0,"[0.0, 65536.0]"
H800 PCIe 80 GB,memory_mb,81920.0,"[0.0, 65536.0]"
H800 SXM5,memory_mb,81920.0,"[0.0, 65536.0]"
H200 NVL,memory_mb,144384.0,"[0.0, 65536.0]"
H200 SXM 141 GB,memory_mb,144384.0,"[0.0, 65536.0]"
GB10,memory_mb,131072.0,"[0.0, 65536.0]"
Jetson T5000,memory_mb,131072.0,"[0.0, 65536.0]"
RTX PRO 5000 72 GB Blackwell,memory_mb,73728.0,"[0.0, 65536.0]"
RTX PRO 6000 Blackwell,memory_mb,98304.0,"[0.0, 65536.0]"
RTX PRO 6000 Blackwell Max-Q,memory_mb,98304.0,"[0.0, 65536.0]"
RTX PRO 6000 Blackwell Server,memory_mb,98304.0,"[0.0, 65536.0]"
RTX PRO 6000D Blackwell,memory_mb,98304.0,"[0.0, 65536.0]"
RTX PRO 6000D Blackwell Max-Q,memory_mb,98304.0,"[0.0, 65536.0]"
