process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name
28.0,112.0,100.0,28.0,25.0,11.1,5.0,4.25,2560.0,1376.0,5.0,192.1,490.0,475.0,4096.0,4096.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,40960.0,40960.0,2017-11-03,.hack//G.U. Last Recode
,,,,,9.0,2.5,2.0,256.0,750.0,3.0,48.0,,200.0,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2016-11-08,0 A.D.
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-02-10,000 Plus
55.0,64.0,47.0,16.0,12.0,10.0,4.0,2.1,1024.0,1000.0,3.0,64.0,,450.0,2048.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,7168.0,7168.0,2012-11-02,007 Legends
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,512.0,,Windows XP 32-bit,Windows 7 32-bit,9.0,9.0,,,2015-05-28,0RBITALIS
85.0,20.0,12.5,20.0,12.5,9.5,3.5,2.55,512.0,764.0,3.0,75.4,,450.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2013-03-20,1 2 3 KICK IT! (Drop That Beat Like an Ugly Baby)
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,2048.0,4096.0,,,Windows 7 32-bit,Windows 8 32-bit,9.0,9.0,,,2016-01-27,10 Minute Barbarian
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-03-05,10 Second Ninja
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2016-07-19,10 Second Ninja X
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-30,10 Years After
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,128.0,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-09-10,100% Orange Juice
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,6144.0,1876.5,5.0,240.2,1222.0,500.0,8192.0,8192.0,,,Windows 7 64-bit,,11.0,11.0,6144.0,6144.0,2018-11-08,11-11 Memories Retold
14.0,48.0,62.5,24.0,33.0,12.05,,2.25,1024.0,1751.0,2.5,56.05,1327.5,325.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,10.0,10.0,4096.0,8192.0,2020-04-23,112 Operator
28.0,48.0,53.5,16.0,17.5,11.6,5.0,4.4,2048.0,1487.5,5.0,95.2,1117.5,400.0,4096.0,6144.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,15360.0,15360.0,2021-08-19,12 Minutes
47.5,32.0,18.5,,4.5,10.1,4.1,3.1,1024.0,775.0,3.5,38.4,,350.0,2048.0,4096.0,512.0,,Windows Vista 32-bit,Windows 7 32-bit,9.0,9.0,,,2015-11-20,12 is better than 6
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-10-16,140
28.0,112.0,113.5,32.0,32.5,11.15,5.0,4.3,2560.0,1501.0,5.0,240.15,1016.0,625.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,51200.0,51200.0,2021-01-01,1666 Amsterdam
72.5,14.0,6.5,8.0,4.5,9.5,3.55,2.6,256.0,330.0,3.0,21.1,,200.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2009-09-23,18 Wheels of Steel: Extreme Trucker
32.5,24.0,13.0,6.0,3.5,9.5,3.5,2.05,320.0,750.0,3.0,41.599999999999994,,450.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,1024.0,2011-01-06,18 Wheels of Steel: Extreme Trucker 2
60.0,44.0,26.0,16.0,9.5,10.05,4.05,2.55,512.0,900.0,3.0,57.6,,425.0,,1024.0,64.0,128.0,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2007-12-03,18 wheels of steel american long haul
55.0,2.0,1.0,,1.0,9.0,2.5,1.75,192.0,304.0,1.0,4.85,,150.0,,,,,Windows 98,Windows XP 32-bit,8.0,8.0,,,2004-08-30,18 wheels of steel: Pedal to the metal
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2014-05-08,1849
