game_name,KNN50-Feasible_avg_ppw,KNN50-Feasible_avg_tdp,KNN50-Feasible_avg_psu,KNN50-Feasible_gpu_names,KNN50-Feasible-PPW-Top5_avg_ppw,KNN50-Feasible-PPW-Top5_avg_tdp,KNN50-Feasible-PPW-Top5_avg_psu,KNN50-Feasible-PPW-Top5_gpu_names,Power-Top5_avg_ppw,Power-Top5_avg_tdp,Power-Top5_avg_psu,Power-Top5_gpu_names,UtilityFormula-Top5_avg_ppw,UtilityFormula-Top5_avg_tdp,UtilityFormula-Top5_avg_psu,UtilityFormula-Top5_gpu_names,ML-Utility-Top5_avg_ppw,ML-Utility-Top5_avg_tdp,ML-Utility-Top5_avg_psu,ML-Utility-Top5_gpu_names,LTR-Utility-Top5_avg_ppw,LTR-Utility-Top5_avg_tdp,LTR-Utility-Top5_avg_psu,LTR-Utility-Top5_gpu_names
.hack//G.U. Last Recode,0.0006630560174964297,191.54,481.6326530612245,"FirePro W8000, Radeon R9 285, Radeon R9 380 OEM, Radeon R9 380, Radeon HD 6970, Quadro K5000 SYNC, Radeon R9 380X, FirePro S9000, FirePro S9050, Radeon Sky 700, FirePro D700, Radeon HD 7970, Radeon HD 8970 OEM, FirePro W9000, FirePro W7100, Radeon HD 7950 Mac Edition, Radeon HD 7950, FirePro S9010, GRID K220Q, GRID K260Q, GRID K240Q, GRID K200, GRID K280Q, FirePro S7150, Radeon HD 7950 Monica BIOS 1, Quadro K5000 Mac Edition, Quadro K5000, Quadro K4200, Tesla K8, GeForce GTX 760 OEM Rebrand, GeForce GTX 660 OEM, Radeon HD 7950 Boost, Radeon HD 8950 OEM, Radeon R9 280, Tesla K20s, Tesla K20c, Tesla K20m, GeForce GTX 670, GeForce GTX 760 Ti OEM Rebrand, GeForce GTX 760 Ti OEM, Radeon HD 7870 XT, Xbox One X GPU, Radeon R9 280X, GeForce GTX 760, Quadro K5200, GeForce GTX 680, GeForce GTX 680 Mac Edition, Radeon HD 7970 GHz Edition, Quadro M4000, Radeon Pro WX 5100",0.0013970143993695578,119.0,325.0,"Radeon Pro WX 5100, Xbox One X GPU, Quadro M4000, Tesla K8, Quadro K5200",0.0072461394923073906,70.6,250.0,"RTX PRO 4000 Blackwell SFF, RTX PRO 2000 Blackwell, RTX 4000 SFF Ada Generation, Radeon RX 7400, RTX 3500 Embedded Ada Generation",0.0072461394923073906,70.6,250.0,"RTX PRO 4000 Blackwell SFF, RTX PRO 2000 Blackwell, RTX 4000 SFF Ada Generation, Radeon RX 7400, RTX 3500 Embedded Ada Generation",0.0072461394923073906,70.6,250.0,"RTX PRO 4000 Blackwell SFF, RTX PRO 2000 Blackwell, RTX 4000 SFF Ada Generation, Radeon RX 7400, RTX 3500 Embedded Ada Generation",0.007082945108413697,64.6,240.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX A2000 12 GB"
10 Second Ninja X,0.00016317843028244817,103.75510204081633,293.0,"Radeon X1900 XT, Radeon X1900 CrossFire Edition, Radeon X1950 XT AGP, Radeon X1800 CrossFire Edition, Radeon X1800 XT, GeForce 7950 GT, Radeon X1900 XTX, Quadro FX 4600 SDI, Quadro FX 4600, GeForce 9600 GT Green Edition, Quadro FX 3500, GeForce 7900 GS, GeForce 7900 GS AGP, GeForce 7900 GT, GeForce GT 130 Mac Edition, Radeon HD 5550, Quadro 4000, Quadro 4000 Mac Edition, GeForce 7900 GTO, GeForce GT 545, GeForce GT 640 OEM Rebrand, FireGL V7350, Radeon HD 2900 PRO, FireGL V7200, FireGL V7600, GeForce 7800 GTX 512, Stream Processor, FireGL V7300, GeForce 8800 GTS 640, GeForce 8800 GTS 320, GeForce 7900 GTX, FireStream 9170, Radeon HD 4860, Quadro 2000D, Quadro 2000, Quadro FX 1800, GeForce 8800 GTS Core 112, Radeon HD 4750, Radeon HD 4770, GeForce 7800 GS 20Pipes AGP, GeForce 7800 GS+ 20Pipes AGP, GeForce 7800 GS+ 24Pipes AGP, GeForce 7800 GS 24Pipes AGP, GeForce 9600 GTX, Radeon HD 3850 AGP, Radeon HD 3850, Quadro FX 5600 Mac Edition, Quadro FX 5600, Tesla C870, GeForce 9600 GSO",0.0004218651415030701,127.4,370.0,"Tesla C870, Quadro FX 5600, Quadro FX 5600 Mac Edition, Quadro 2000D, Quadro 2000",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, RTX PRO 2000 Blackwell, Iris Xe MAX Graphics, Radeon RX 7400",0.011787542729150682,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU, Ryzen Z2 GPU, Ryzen Z2 Extreme GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
12 is better than 6,0.0002801300957682024,128.0,356.0,"Quadro FX 1800, Radeon HD 4750, Radeon HD 4770, GeForce 8800 GTS Core 112, Quadro FX 5600 Mac Edition, Tesla C870, Quadro FX 5600, Radeon HD 4860, GeForce GT 240, GeForce 9600 GT Green Edition, Quadro VX 200, Quadro FX 3700, GeForce 9600 GTX, Quadro 4000, Quadro 4000 Mac Edition, GeForce GTX 465, GeForce GTX 460 SE v2, Quadro 5000, Quadro 5000 SDI, Quadro FX 3800, GeForce 8800 GTS 512, Radeon HD 4870 Mac Edition, FirePro V8700, Quadro CX, Quadro FX 4800, Quadro FX 4800 Mac Edition, GeForce GTX 460 SE, GeForce GTX 560 OEM, Quadro 2000, Quadro 2000D, Radeon HD 4810, Radeon HD 4730, Radeon HD 4830, GeForce GT 140 OEM, GeForce 9600 GT, GeForce 9600 GT Rev. 2, GeForce GTS 450 Rev. 2, GeForce GTS 450, FirePro W4000, FirePro W5000 DVI, FirePro R5000, FirePro W5000, GeForce GTX 460 OEM, GeForce 8800 GTX, GeForce 8800 GT, GeForce 8800 GT Mac Edition, GeForce 9800 GT, Tesla C2070, Quadro 6000, Quadro 6000 SDI",0.000689849665290431,113.4,330.0,"FirePro W5000, FirePro W4000, FirePro W5000 DVI, Quadro FX 5600 Mac Edition, Tesla C870",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, RTX PRO 2000 Blackwell, Iris Xe MAX Graphics, Radeon RX 7400",0.011787542729150682,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU, Ryzen Z2 GPU, Ryzen Z2 Extreme GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
18 Wheels of Steel: Extreme Trucker,7.981362917629756e-05,71.525,237.0,"FireGL V5100, Radeon X800 GT, Quadro FX 1700, Radeon X800 VE AGP, Radeon HD 4730 OEM, Radeon X800 PRO AGP, Radeon X800 PRO, FireGL X3-256, GeForce 9600 GT Mac Edition, Radeon X800 GT AGP, Radeon X1800 GTO, FireGL V7100, Radeon X1800 GTO2, Radeon X850 PRO AGP, All-In-Wonder X1900, GeForce GT 130 OEM, Radeon X800 GTO2, All-In-Wonder X800 XL, Radeon X800 XL, GeForce 6800 GT DDL, GeForce 6800 GT, Quadro FX 4000, Radeon X800 XL AGP, Radeon X850 PRO, Radeon X800 XT Mac Edition, Radeon X800 XT AGP, All-In-Wonder X1800 XL, Radeon X1800 XL, Radeon X800 CrossFire Edition, All-In-Wonder X800 XT, Radeon X800 XT, GeForce 7800 GT, Quadro FX 5500, Quadro FX 5500 SDI, GeForce GT 230 OEM, Quadro FX 4400G, Quadro FX 4400, Quadro FX 4500 SDI, Quadro FX 4500, Radeon X850 XT, Radeon X850 CrossFire Edition, Radeon X850 XT AGP, GeForce 6800 Ultra DDL, GeForce 6800 Ultra, Radeon X800 XT Platinum AGP, Radeon X800 XT Platinum, Radeon HD 6530, Radeon X1950 GT, Radeon X1950 GT AGP, Radeon X1900 GT",0.0001941953813720007,64.6,240.0,"Radeon HD 6530, Radeon X1950 GT AGP, Radeon X1950 GT, GeForce GT 230 OEM, GeForce 9600 GT Mac Edition",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, RTX PRO 2000 Blackwell, Iris Xe MAX Graphics, Radeon RX 7400",0.011787542729150682,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU, Ryzen Z2 GPU, Ryzen Z2 Extreme GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
18 wheels of steel american long haul,0.0003020881692419197,133.14,377.0833333333333,"GeForce 9800 GT, GeForce 8800 GT Mac Edition, GeForce 8800 GT, FirePro V8750, Radeon HD 4870, FireStream 9270, FirePro V8700, Radeon HD 4870 Mac Edition, Radeon HD 4850, FireStream 9250, FirePro V5800, FirePro V5800 DVI, GeForce GTX 645 OEM, GeForce 8800 GTS 512, Quadro FX 3700, GeForce GTX 460 SE v2, Radeon HD 4890, GeForce GTX 555 OEM, GeForce GTX 560 SE, GeForce GT 645 OEM, Quadro FX 3800, GeForce 9800 GT Rebrand, GeForce GTS 150 OEM, GeForce GTS 250, Radeon HD 5830, GeForce GTX 460 v2, Quadro FX 4800, Quadro FX 4800 Mac Edition, Quadro CX, Xbox One GPU, Xbox One S GPU, Radeon HD 6790, GeForce GTX 260 Rev. 2, GeForce GTX 260, GeForce GTX 260 OEM, GeForce GTX 460, GeForce GTX 460 SE, GeForce GTX 460 OEM, GeForce GTX 260 Core 216 Rev. 2, GeForce GTX 260 Core 216, GeForce GTS 240 OEM, GeForce 9800 GTX, GeForce 9800 GTX+, GeForce GTX 465, Radeon R7 250XE, Radeon R7 350 640SP, Radeon R7 250X, FirePro R5000, FirePro W5000, FirePro W4000",0.0008167089870533882,70.0,250.0,"Radeon R7 350 640SP, FirePro W4000, FirePro W5000, Radeon R7 250X, GeForce GTX 645 OEM",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, Iris Xe MAX Graphics, RTX PRO 2000 Blackwell, Radeon RX 7400",0.012308264871438346,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z2 Extreme GPU, Ryzen AI Z2 Extreme GPU, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
1953: KGB Unleashed,0.0002961392390766879,137.16,381.25,"Radeon HD 4770, Radeon HD 4750, FirePro V8700, Radeon HD 4870 Mac Edition, GeForce 9800 GT, GeForce 8800 GT, GeForce 8800 GT Mac Edition, GeForce 8800 GTS 512, Radeon HD 4870, FireStream 9270, FirePro V8750, Quadro FX 3800, Quadro FX 5600, Quadro FX 5600 Mac Edition, Tesla C870, Radeon HD 4860, GeForce 8800 GTX, Quadro FX 4800, Quadro CX, Quadro FX 4800 Mac Edition, Radeon HD 4850, FireStream 9250, Radeon HD 4890, GeForce GT 645 OEM, FirePro V5800, FirePro V5800 DVI, FirePro W600, GeForce 9600 GTX, GeForce GTX 645 OEM, GeForce 9800 GT Rebrand, GeForce GTS 150 OEM, GeForce GTS 250, Radeon HD 5830, GeForce GTX 460 v2, GeForce GTX 465, GeForce GTX 460, FirePro W5000 DVI, FirePro W5000, FirePro R5000, FirePro W4000, Xbox One GPU, Xbox One S GPU, Radeon HD 6790, GeForce GTX 260, GeForce GTX 260 Rev. 2, GeForce GTX 260 OEM, GeForce GTX 260 Core 216 Rev. 2, GeForce GTX 260 Core 216, Tesla M1060, Quadro FX 5800",0.0007516868973550526,77.0,250.0,"FirePro W5000 DVI, FirePro W4000, FirePro W5000, GeForce GTX 645 OEM, Xbox One S GPU",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, Iris Xe MAX Graphics, RTX PRO 2000 Blackwell, Radeon RX 7400",0.012308264871438346,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z2 Extreme GPU, Ryzen AI Z2 Extreme GPU, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
3079,0.00011939641600839605,43.06060606060606,211.0,"FireGL V5000, Radeon X700 PRO, Radeon X740 XL, Volari V5, GeForce FX 5700 Ultra, GeForce FX 5900, Quadro FX 3000G, GeForce FX 5900 Ultra, Quadro FX 3000, GeForce PCX 5950, Radeon X800 PRO AGP, Quadro FX 3400, Radeon X800 PRO, FireGL X3-256, Radeon X700 PRO AGP, GeForce 8500 GT, GeForce FX 5800, Quadro FX 550, Quadro FX 570, GeForce 9400 GT Rev. 2, Radeon HD 4700, Radeon X1300 XT, Radeon HD 4650 AGP, GeForce 7600 GS, All-In-Wonder 2006 PCIe Edition, Radeon X1300 PRO AGP, FireMV 2250, GeForce 6610 XL, Radeon X1300 XT AGP, Radeon X1600, Radeon X1550, Radeon X1650 AGP, Radeon X1650, GeForce 9400 GT PCI, GeForce 7600 LE, GeForce 7650 GS, GeForce FX 5600 Ultra, GeForce GT 220, Quadro FX 2000, Radeon X1650 SE, FireMV 2250 PCIe x1, GeForce 8600 GS, Radeon X1650 GT, GeForce 6600 GT AGP, Radeon HD 4570 Rebrand, Radeon HD 2600 PRO AGP, Radeon HD 3610, Radeon HD 3730, All-In-Wonder X800 VE, All-In-Wonder X800 SE",0.00026531597641855334,56.0,230.0,"GeForce 8600 GS, Quadro FX 3400, GeForce 7600 GS, Radeon HD 4650 AGP, GeForce PCX 5950",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007455002750669207,52.0,230.0,"RTX PRO 4000 Blackwell SFF, RTX PRO 2000 Blackwell, Arc A350, Iris Xe MAX Graphics, RTX 4000 SFF Ada Generation",0.01314620846793765,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, Ryzen AI Z2 Extreme GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
4PM,0.00016317843028244817,103.75510204081633,293.0,"Radeon X1900 XT, Radeon X1900 CrossFire Edition, Radeon X1950 XT AGP, Radeon X1800 CrossFire Edition, Radeon X1800 XT, GeForce 7950 GT, Radeon X1900 XTX, Quadro FX 4600 SDI, Quadro FX 4600, GeForce 9600 GT Green Edition, Quadro FX 3500, GeForce 7900 GS, GeForce 7900 GS AGP, GeForce 7900 GT, GeForce GT 130 Mac Edition, Radeon HD 5550, Quadro 4000, Quadro 4000 Mac Edition, GeForce 7900 GTO, GeForce GT 545, GeForce GT 640 OEM Rebrand, FireGL V7350, Radeon HD 2900 PRO, FireGL V7200, FireGL V7600, GeForce 7800 GTX 512, Stream Processor, FireGL V7300, GeForce 8800 GTS 640, GeForce 8800 GTS 320, GeForce 7900 GTX, FireStream 9170, Radeon HD 4860, Quadro 2000D, Quadro 2000, Quadro FX 1800, GeForce 8800 GTS Core 112, Radeon HD 4750, Radeon HD 4770, GeForce 7800 GS 20Pipes AGP, GeForce 7800 GS+ 20Pipes AGP, GeForce 7800 GS+ 24Pipes AGP, GeForce 7800 GS 24Pipes AGP, GeForce 9600 GTX, Radeon HD 3850 AGP, Radeon HD 3850, Quadro FX 5600 Mac Edition, Quadro FX 5600, Tesla C870, GeForce 9600 GSO",0.0004218651415030701,127.4,370.0,"Tesla C870, Quadro FX 5600, Quadro FX 5600 Mac Edition, Quadro 2000D, Quadro 2000",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, RTX PRO 2000 Blackwell, Iris Xe MAX Graphics, Radeon RX 7400",0.011787542729150682,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU, Ryzen Z2 GPU, Ryzen Z2 Extreme GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
6180 the moon,0.00016317843028244817,103.75510204081633,293.0,"Radeon X1900 XT, Radeon X1900 CrossFire Edition, Radeon X1950 XT AGP, Radeon X1800 CrossFire Edition, Radeon X1800 XT, GeForce 7950 GT, Radeon X1900 XTX, Quadro FX 4600 SDI, Quadro FX 4600, GeForce 9600 GT Green Edition, Quadro FX 3500, GeForce 7900 GS, GeForce 7900 GS AGP, GeForce 7900 GT, GeForce GT 130 Mac Edition, Radeon HD 5550, Quadro 4000, Quadro 4000 Mac Edition, GeForce 7900 GTO, GeForce GT 545, GeForce GT 640 OEM Rebrand, FireGL V7350, Radeon HD 2900 PRO, FireGL V7200, FireGL V7600, GeForce 7800 GTX 512, Stream Processor, FireGL V7300, GeForce 8800 GTS 640, GeForce 8800 GTS 320, GeForce 7900 GTX, FireStream 9170, Radeon HD 4860, Quadro 2000D, Quadro 2000, Quadro FX 1800, GeForce 8800 GTS Core 112, Radeon HD 4750, Radeon HD 4770, GeForce 7800 GS 20Pipes AGP, GeForce 7800 GS+ 20Pipes AGP, GeForce 7800 GS+ 24Pipes AGP, GeForce 7800 GS 24Pipes AGP, GeForce 9600 GTX, Radeon HD 3850 AGP, Radeon HD 3850, Quadro FX 5600 Mac Edition, Quadro FX 5600, Tesla C870, GeForce 9600 GSO",0.0004218651415030701,127.4,370.0,"Tesla C870, Quadro FX 5600, Quadro FX 5600 Mac Edition, Quadro 2000D, Quadro 2000",0.013146208467937653,36.8,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",0.007442401051521301,46.6,220.0,"RTX PRO 4000 Blackwell SFF, Arc A350, RTX PRO 2000 Blackwell, Iris Xe MAX Graphics, Radeon RX 7400",0.011787542729150682,36.8,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z1 Extreme GPU, Ryzen Z2 Go GPU, Ryzen Z2 GPU, Ryzen Z2 Extreme GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
8-Bit Hordes,0.00041427334122799724,178.28,467.3469387755102,"Radeon HD 6850, Radeon HD 7720 OEM, Radeon HD 6870, FirePro V7800, FireStream 9350, FirePro V7800P, Radeon HD 6850 1440SP Edition, Radeon HD 5850, Radeon HD 6870 1600SP Edition, GeForce GTX 280, GeForce GTX 560 Ti 448, GeForce GTX 570, GeForce GTX 570 Rev. 2, FireStream 9370, FirePro V8800, FirePro V9800, FirePro V9800P, Radeon HD 7850, FirePro W4000, FirePro W5000, FirePro R5000, FirePro W5000 DVI, Radeon HD 5870 Mac Edition, Radeon HD 6930, Radeon HD 5870, Radeon HD 5870 Eyefinity 6, FirePro S7000, FirePro W7000, Radeon Sky 500, Radeon HD 7870 GHz Edition, Radeon HD 8870 OEM, Tesla C1080, Tesla C1060, Quadro FX 5800, Tesla M1060, GeForce GTX 580 Rev. 2, GeForce GTX 580, GeForce GTX 285, GeForce GTX 285 Mac Edition, GeForce GTX 480, Tesla M2090, Tesla C2090, Tesla X2090, FirePro V7900, FirePro V7900 SDI, Radeon HD 7950 Monica BIOS 2, Radeon HD 6950, FirePro D300, Zhongshan Subor Z+ GPU, Radeon HD 7950 Monica BIOS 1",0.0009700606658178217,82.0,250.0,"Zhongshan Subor Z+ GPU, Radeon HD 7950 Monica BIOS 2, FirePro W5000 DVI, FirePro W5000, FirePro W4000",0.012458259548459735,36.4,250.0,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, RTX PRO 4000 Blackwell SFF, Ryzen Z2 Go GPU",0.007496846284185137,55.6,230.0,"Arc A350, RTX PRO 4000 Blackwell SFF, Radeon RX 7400, RTX PRO 2000 Blackwell, RTX 4000 SFF Ada Generation",0.012458259548459735,36.4,250.0,"RTX PRO 4000 Blackwell SFF, Ryzen Z2 Extreme GPU, Ryzen AI Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z2 Go GPU",0.007159096956253051,51.6,230.0,"Radeon RX 7400, RTX PRO 2000 Blackwell, RTX PRO 4000 Blackwell SFF, Arc A350, RTX A1000"
