process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name,hard_filter_count,soft_filter_count,norm_texture_rate,norm_pixel_rate,norm_memory_bandwidth_gbs,norm_tmus,norm_rops,norm_memory_speed_mhz,norm_boost_clock_mhz,perf_feature_count,perf_score
40.0,58.0,46.0,40.0,31.5,11.0,5.0,4.1,1280.0,987.0,5.0,155.9,,550.0,4096.0,4096.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,40960.0,40960.0,2017-11-03,.hack//G.U. Last Recode,2,5,0.07205067300079177,0.13777777777777778,0.22869757174392938,0.17996870109546165,0.32075471698113206,0.471201459473547,,6,0.19881198980871487
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2016-11-08,0 A.D.,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-02-10,000 Plus,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
55.0,32.0,17.5,8.0,6.5,10.05,4.05,2.55,896.0,600.0,2.0,23.2,,375.0,2048.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,7168.0,7168.0,2012-11-02,007 Legends,2,5,0.026920031670625493,0.02666666666666667,0.03340691685062546,0.09859154929577464,0.018867924528301886,0.2694813656502476,,6,0.047862518000619865
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,512.0,,Windows XP 32-bit,Windows 7 32-bit,9.0,9.0,,,2015-05-28,0RBITALIS,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
40.0,8.0,3.5,,1.5,10.5,4.5,3.5999999999999996,256.0,250.0,2.5,2.0,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2013-03-20,1 2 3 KICK IT! (Drop That Beat Like an Ugly Baby),2,4,0.004750593824228029,0.0044444444444444444,0.002207505518763797,0.023474178403755867,,0.08704717227000261,,5,0.009902901279187167
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,2048.0,4096.0,,,Windows 7 32-bit,Windows 8 32-bit,9.0,9.0,,,2016-01-27,10 Minute Barbarian,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
72.5,12.0,7.0,,3.0,10.0,4.0,2.6,256.0,600.0,2.5,19.2,,375.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-03-05,10 Second Ninja,2,4,0.010292953285827395,0.011111111111111112,0.027520235467255332,0.03599374021909233,,0.2694813656502476,,5,0.03140082590473202
72.5,12.0,7.0,,3.0,10.0,4.0,2.6,256.0,600.0,2.5,19.2,,375.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2016-07-19,10 Second Ninja X,2,4,0.010292953285827395,0.011111111111111112,0.027520235467255332,0.03599374021909233,,0.2694813656502476,,5,0.03140082590473202
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-30,10 Years After,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,128.0,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-09-10,100% Orange Juice,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,8192.0,8192.0,,,Windows 7 64-bit,,11.0,11.0,6144.0,6144.0,2018-11-08,11-11 Memories Retold,2,5,0.12826603325415678,0.12444444444444444,0.21839587932303162,0.24882629107981222,0.20754716981132076,0.6609330205890018,0.10085714285714285,7,0.19816631337786958
34.0,28.0,24.0,8.0,10.0,11.0,5.0,4.2,1536.0,945.5,4.0,46.25,,375.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,10.0,10.0,4096.0,8192.0,2020-04-23,112 Operator,2,5,0.03721298495645289,0.042222222222222223,0.0673289183222958,0.08607198748043818,0.018867924528301886,0.44956997654417513,,6,0.06525844919409014
28.0,26.0,24.5,8.0,11.5,12.0,5.0,4.35,2048.0,1012.5,4.0,50.4,412.5,425.0,4096.0,6144.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,15360.0,15360.0,2021-08-19,12 Minutes,2,5,0.03800475059382423,0.04888888888888889,0.0734363502575423,0.07981220657276995,0.018867924528301886,0.48449309356267917,0.041428571428571426,7,0.06341491985045783
67.5,16.0,4.5,8.0,2.0,10.05,4.05,2.6500000000000004,512.0,350.0,3.0,11.2,,175.0,2048.0,4096.0,512.0,,Windows Vista 32-bit,Windows 7 32-bit,9.0,9.0,,,2015-11-20,12 is better than 6,2,5,0.006334125098970704,0.006666666666666667,0.015746872700515082,0.048513302034428794,0.018867924528301886,0.13917122752150118,,6,0.020956593353075523
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-10-16,140,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
28.0,80.0,78.5,28.0,27.5,11.15,5.0,4.3,2048.0,1451.0,5.0,161.7,979.0,475.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,51200.0,51200.0,2021-01-01,1666 Amsterdam,2,5,0.12351543942992874,0.12,0.23723325974981602,0.24882629107981222,0.20754716981132076,0.7130570758405004,0.36514285714285716,7,0.24104431525190087
,,,,,9.0,2.0,1.75,128.0,300.0,,4.800000000000001,,,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2009-09-23,18 Wheels of Steel: Extreme Trucker,2,1,,,0.006328182487122885,,,0.11310919989575188,,2,0.026753983963379715
