process_size,tmus,texture_rate,rops,pixel_rate,directx,shader_model,opengl,memory_size,memory_clock,memory_type,bandwidth,boost_clock,suggested_psu,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name,hard_filter_count,soft_filter_count,norm_texture_rate,norm_pixel_rate,norm_bandwidth,norm_tmus,norm_rops,norm_memory_clock,norm_boost_clock,perf_feature_count,perf_score
28.0,112.0,100.0,28.0,25.0,11.1,5.0,4.25,2560.0,1376.0,5.0,192.1,490.0,475.0,4096.0,4096.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,40960.0,40960.0,2017-11-03,.hack//G.U. Last Recode,2,5,0.15756136183689629,0.10888888888888888,0.25994965643921353,0.3489827856025039,0.20754716981132076,0.6708727655099895,0.1589041095890411,7,0.23037281858821487
,,,,,9.0,2.5,2.0,256.0,750.0,3.0,48.0,,200.0,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2016-11-08,0 A.D.,2,1,,,0.06388189672766854,,,0.34174553101997895,,2,0.14775436616141177
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-02-10,000 Plus,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
55.0,64.0,47.0,16.0,12.0,10.0,4.0,2.1,1024.0,1000.0,3.0,64.0,,450.0,2048.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,7168.0,7168.0,2012-11-02,007 Legends,2,5,0.07363420427553444,0.051111111111111114,0.0856520851758623,0.19874804381846636,0.09433962264150944,0.47318611987381703,,6,0.11914074436206991
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,512.0,,Windows XP 32-bit,Windows 7 32-bit,9.0,9.0,,,2015-05-28,0RBITALIS,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
85.0,20.0,12.5,20.0,12.5,9.5,3.5,2.55,512.0,764.0,3.0,75.4,,450.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2013-03-20,1 2 3 KICK IT! (Drop That Beat Like an Ugly Baby),2,5,0.019002375296912115,0.05333333333333334,0.10116334444520036,0.06103286384976526,0.1320754716981132,0.3491062039957939,,6,0.08128845712729249
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,2048.0,4096.0,,,Windows 7 32-bit,Windows 8 32-bit,9.0,9.0,,,2016-01-27,10 Minute Barbarian,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-03-05,10 Second Ninja,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2016-07-19,10 Second Ninja X,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-30,10 Years After,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,128.0,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-09-10,100% Orange Juice,2,4,0.013460015835312747,0.006666666666666667,0.061704877882849174,0.048513302034428794,,0.3286014721345952,,5,0.03882941341836853
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,6144.0,1876.5,5.0,240.2,1222.0,500.0,8192.0,8192.0,,,Windows 7 64-bit,,11.0,11.0,6144.0,6144.0,2018-11-08,11-11 Memories Retold,2,5,0.24069675376088678,0.23555555555555555,0.325396285461596,0.3865414710485133,0.3584905660377358,0.9340168243953733,0.56,7,0.38855822275404023
14.0,48.0,62.5,24.0,33.0,12.05,,2.25,1024.0,1751.0,2.5,56.05,1327.5,325.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,10.0,10.0,4096.0,8192.0,2020-04-23,112 Operator,2,5,0.09817893903404593,0.14444444444444443,0.07483502279066603,0.1486697965571205,0.16981132075471697,0.8680336487907466,0.6178082191780822,7,0.20332956375687194
