split,game_name,label_0,label_1,label_2,label_3
train,0 A.D.,216,213,182,108
train,000 Plus,216,217,180,109
train,007 Legends,145,144,122,73
train,0RBITALIS,212,212,177,106
train,1 2 3 KICK IT! (Drop That Beat Like an Ugly Baby),185,184,153,93
train,10 Minute Barbarian,216,217,180,109
train,10 Second Ninja,216,217,180,109
train,10 Years After,216,217,180,109
train,100% Orange Juice,216,217,180,109
train,11-11 Memories Retold,126,23,103,5
train,112 Operator,124,124,103,62
train,12 Minutes,147,146,120,75
train,140,216,217,180,109
train,1666 Amsterdam,91,91,75,46
train,18 Wheels of Steel: Extreme Trucker 2,207,207,172,104
train,18 wheels of steel: Pedal to the metal,376,376,313,189
train,1849,216,217,180,109
train,1931: Scheherazade at the Library of Pergamum,288,287,237,146
train,1954 Alcatraz,216,217,180,109
train,1971 Project Helios,126,23,103,5
train,1979 Revolution: Black Friday,276,276,229,140
train,20000 Leagues Above The Clouds,241,241,201,121
train,20XX,264,264,220,132
train,25 To Life,275,275,229,138
train,3 out of 10,117,22,94,7
train,3089,216,217,180,109
train,30XX,264,264,220,132
train,3D SexVilla 2: Everlust,216,217,180,109
train,3dSen,187,187,156,94
train,4089: Ghost Within,216,217,180,109
train,4x4 Evo 2,379,377,316,190
train,5089: The Action RPG,216,217,180,109
train,5D Chess With Multiverse Time Travel,192,192,160,96
train,7 Days To Die,199,199,165,100
train,7554,194,193,161,97
train,8 Kingdoms,216,217,180,109
train,8-bit Armies,139,138,115,70
train,80 Days,216,217,180,109
train,83,124,23,100,6
train,8BitBoy,216,217,180,109
train,99 Levels To Hell,171,169,143,86
train,99 Spirits,216,217,180,109
train,"999: Nine Persons, Nine Hours, Nine Doors",181,180,150,91
train,9Dragons,275,275,229,138
train,A Bird Story,241,241,201,121
train,A Dead Worlds Dream,216,217,180,109
train,A Fistful Of Cows,216,217,180,109
train,A Fistful of Gun,200,200,167,100
train,A Game Of Thrones,168,170,140,85
train,A Game Of Thrones: Beyond The Wall,145,145,120,73
train,A Game Of Thrones: Genesis,248,247,206,124
train,A Golden Wake,216,217,180,109
train,A Hat In Time,129,127,107,65
train,A Horde Too Many,125,22,103,6
train,A Long Way Down,190,190,157,97
train,A New Beginning,200,202,167,101
train,A New World: Kingdoms,157,157,130,79
train,A Plague Tale: Innocence,126,23,103,5
train,A Plague Tale: Requiem,126,23,103,5
train,A Sirius Game,190,190,157,97
train,A Story About My Uncle,216,217,180,109
train,A Stroke of Madness,216,217,180,109
train,A Virus Named Tom,366,368,305,184
train,A Way Out,125,24,108,5
train,A Year Of Rain,126,23,103,5
train,A-Men,216,217,180,109
train,A.I. War: Alien Bundle,288,287,238,145
train,A.I. War: The Zenith Remnant,288,287,238,145
train,A.V.,216,217,180,109
train,ACE: Arena Cyber Evolution,216,217,180,109
train,AI: The Somnium Files,94,94,79,47
train,AO International Tennis,109,21,99,5
train,AO Tennis 2,109,21,99,5
train,APB,221,221,184,111
train,ARES: Extinction Agenda,208,209,173,105
train,ARK Park,43,8,37,3
train,ARK: Aberration,116,116,96,59
train,ARK: Scorched Earth,116,116,96,59
train,ARSLAN: THE WARRIORS OF LEGEND,116,116,96,59
train,ATLAS,124,23,100,6
train,AVICII Invector,196,195,163,98
train,AWAY: The Survival Series,88,17,70,5
train,AX:EL,216,217,180,109
train,Aarklash: Legacy,144,144,120,73
train,Aaron Crane: Paintings Come Alive,216,217,180,109
train,Aarus Awakening,216,217,180,109
train,Abalone,216,217,180,109
train,Abandon Ship,137,136,114,69
train,Abandoned,216,217,180,109
train,Abandoned (2021),111,21,89,7
train,Abducted,216,217,180,109
train,Abomination Tower,216,217,180,109
