split,game_name,label_0,label_1,label_2,label_3
train,0 A.D.,344,53,295,27
train,000 Plus,345,54,296,27
train,007 Legends,232,42,195,15
train,0RBITALIS,336,57,287,27
train,1 2 3 KICK IT! (Drop That Beat Like an Ugly Baby),290,46,258,21
train,10 Minute Barbarian,345,54,296,27
train,10 Second Ninja,345,54,296,27
train,10 Years After,345,54,296,27
train,100% Orange Juice,345,54,296,27
train,11-11 Memories Retold,126,22,104,5
train,112 Operator,199,34,172,8
train,12 Minutes,233,42,203,10
train,140,345,54,296,27
train,1666 Amsterdam,145,27,122,9
train,18 Wheels of Steel: Extreme Trucker 2,332,56,278,24
train,18 wheels of steel: Pedal to the metal,535,32,661,26
train,1849,345,54,296,27
train,1931: Scheherazade at the Library of Pergamum,451,68,413,26
train,1954 Alcatraz,345,54,296,27
train,1971 Project Helios,126,23,102,6
train,1979 Revolution: Black Friday,426,57,411,27
train,20000 Leagues Above The Clouds,380,62,332,30
train,20XX,414,63,376,27
train,25 To Life,425,58,404,30
train,3 out of 10,113,22,97,8
train,3089,345,54,296,27
train,30XX,414,63,376,27
train,3D SexVilla 2: Everlust,345,54,296,27
train,3dSen,299,50,256,19
train,4089: Ghost Within,345,54,296,27
train,4x4 Evo 2,534,31,674,23
train,5089: The Action RPG,345,54,296,27
train,5D Chess With Multiverse Time Travel,305,54,257,24
train,7 Days To Die,318,54,268,23
train,7554,310,52,256,27
train,8 Kingdoms,345,54,296,27
train,8-bit Armies,223,38,191,10
train,80 Days,345,54,296,27
train,83,124,23,102,4
train,8BitBoy,345,54,296,27
train,99 Levels To Hell,274,44,240,11
train,99 Spirits,345,54,296,27
train,"999: Nine Persons, Nine Hours, Nine Doors",288,48,249,17
train,9Dragons,425,58,404,30
train,A Bird Story,380,62,332,30
train,A Dead Worlds Dream,345,54,296,27
train,A Fistful Of Cows,345,54,296,27
train,A Fistful of Gun,319,55,270,23
train,A Game Of Thrones,271,46,231,15
train,A Game Of Thrones: Beyond The Wall,232,39,197,15
train,A Game Of Thrones: Genesis,390,62,345,28
train,A Golden Wake,345,54,296,27
train,A Hat In Time,206,36,175,11
train,A Horde Too Many,125,22,105,4
train,A Long Way Down,304,51,254,25
train,A New Beginning,322,54,270,24
train,A New World: Kingdoms,251,41,219,12
train,A Plague Tale: Innocence,126,23,102,6
train,A Plague Tale: Requiem,126,23,102,6
train,A Sirius Game,304,51,254,25
train,A Story About My Uncle,345,54,296,27
train,A Stroke of Madness,345,54,296,27
train,A Virus Named Tom,531,42,627,23
train,A Way Out,123,24,106,9
train,A Year Of Rain,126,23,102,6
train,A-Men,345,54,296,27
train,A.I. War: Alien Bundle,441,58,427,32
train,A.I. War: The Zenith Remnant,441,58,427,32
train,A.V.,345,54,296,27
train,ACE: Arena Cyber Evolution,345,54,296,27
train,AI: The Somnium Files,150,28,127,9
train,AO International Tennis,108,22,97,7
train,AO Tennis 2,108,22,97,7
train,APB,350,55,300,32
train,ARES: Extinction Agenda,332,54,286,23
train,ARK Park,37,8,43,3
train,ARK: Aberration,186,33,155,13
train,ARK: Scorched Earth,186,33,155,13
train,ARSLAN: THE WARRIORS OF LEGEND,186,33,155,13
train,ATLAS,124,23,102,4
train,AVICII Invector,312,52,264,24
train,AWAY: The Survival Series,88,16,69,7
train,AX:EL,345,54,296,27
train,Aarklash: Legacy,231,37,200,13
train,Aaron Crane: Paintings Come Alive,345,54,296,27
train,Aarus Awakening,345,54,296,27
train,Abalone,345,54,296,27
train,Abandon Ship,220,35,190,11
train,Abandoned,345,54,296,27
train,Abandoned (2021),111,21,90,6
train,Abducted,345,54,296,27
train,Abomination Tower,345,54,296,27
train,Absolute Drift,345,54,296,27
train,Absolver,136,25,117,7
train,Abyss Odyssey,243,42,215,13
train,Abyss Of The Sacrifice,267,44,237,11
train,Accel World VS. Sword Art Online Deluxe Edition,123,22,102,4
train,Accident,199,34,166,13
train,Accounting,114,21,95,4
train,Ace Combat 7: Skies Unknown,130,25,106,6
train,Ace Combat: Assault Horizon,298,50,251,23
train,Achtung Panzer: Kharkov 1943,455,58,456,21
train,Achtung Panzer: Operation Star,455,58,456,21
train,Achtung Panzer: Operation Star - Sokolovo 1943,455,58,456,21
train,Across the Grooves,309,51,257,27
train,Act Of Aggression,187,33,155,13
train,Action Taimanin,194,34,166,6
train,Actraiser Renaissance,225,38,193,13
train,Ad Infinitum,124,23,102,4
train,Adam - Lost Memories,126,23,102,6
train,Adams Venture 3: Revelations,410,60,374,28
train,Adios,124,23,102,4
train,Adore,188,33,155,13
train,Adr1ft,116,23,99,10
train,Adraiel: Unchained,345,54,296,27
train,Adventure In Aellion,126,22,104,5
train,Adventure Park,226,39,196,10
train,Adventure Time: Explore the Dungeon Because I DONT KNOW!,345,54,296,27
train,AdventureQuest 3D,319,55,270,23
train,Adventurer,345,54,296,27
train,Adventurer Manager,345,54,296,27
train,Adventures of Chris,414,63,376,27
train,Adventures of Shuggy,460,70,429,19
train,Aeioth RPG,93,19,81,7
train,Aerofly FS 2 Flight Simulator,233,42,203,10
train,AeroflyFS,296,48,258,15
train,Aery,306,52,262,19
train,Aery VR,125,22,105,4
train,AeternoBlade II: Directors Rewind,125,22,105,4
train,Afro Samurai 2: Revenge of Kuma,345,54,296,27
train,After The Fall,101,19,82,7
train,Afterfall: Insanity,353,58,308,22
train,Afterparty,124,23,102,4
train,Age Of Decadence,242,44,214,14
train,Age Of Empires II: HD,485,59,496,24
train,Age Of Wushu,299,50,254,20
train,Age of Civilizations 2,233,42,203,10
train,Age of Conan: Hyborian Adventures,316,55,267,25
train,Age of Conan: Rise Of The Godslayer,316,55,267,25
train,Age of Empires II HD: The African Kingdoms,485,59,496,24
train,Age of Empires II: The Forgotten,485,59,496,24
train,Age of Empires III: Definitive Edition,90,16,77,7
train,Age of Empires IV,127,24,104,5
train,Age of Empires Online,424,63,397,17
train,Age of Empires: Definitive Edition,485,59,496,24
train,Age of Mythology - Tales of the Dragon,257,44,218,16
train,Age of Mythology Extended Edition,257,44,218,16
train,Age of Wonders 3,217,38,181,15
