game_name,power_top5_avg_tdp,power_top5_avg_psu,power_top5_avg_ppw,power_top5_avg_efficiency_regret,power_top5_avg_overprovisioning,power_top5_gpu_names,ltr_utility_top5_avg_tdp,ltr_utility_top5_avg_psu,ltr_utility_top5_avg_ppw,ltr_utility_top5_avg_efficiency_regret,ltr_utility_top5_avg_overprovisioning,ltr_utility_top5_gpu_names,power_top5_ndcg@5,power_top5_recall_label3@5,ltr_utility_top5_ndcg@5,ltr_utility_top5_recall_label3@5,power_top5_overlap_ltr
.hack//G.U. Last Recode,65.0,240.0,0.0049540253613073485,0.30221267995416534,0.347662900555051,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell",66.0,240.0,0.004558471486026358,0.3579274691277977,0.23556383590946103,"Radeon RX 7400, L4, RTX 4000 SFF Ada Generation, RTX PRO 4000 Blackwell SFF, Radeon Pro WX 5100",1.0,1.0,1.0,1.0,0.8
10 Second Ninja X,25.8,200.0,0.007241723240126198,0.10114567028596957,3.8493921664839474,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",32.6,200.0,0.0050738997839798496,0.3702194024628461,3.2459160401376095,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Arc A310, T600",0.8443019660324382,1.0,1.0,1.0,0.2
12 is better than 6,25.8,200.0,0.007241723240126198,0.10114567028596957,2.0471908746265823,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",32.6,200.0,0.0050738997839798496,0.3702194024628461,1.6679872791807522,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Arc A310, T600",0.8443019660324382,1.0,1.0,1.0,0.2
18 Wheels of Steel: Extreme Trucker,25.8,200.0,0.007241723240126198,0.10114567028596957,5.816771730276739,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU",30.6,200.0,0.00415283293449783,0.4845437004456212,3.7627860450485664,"Radeon RX 7400, Radeon PRO W6300, Arc A350, GeForce 505 OEM, Radeon 625 OEM",0.8443019660324382,1.0,1.0,1.0,0.2
18 wheels of steel american long haul,30.4,200.0,0.00683594998791613,0.15151089863523853,1.2354877053715425,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Ryzen Z2 GPU, Radeon PRO W6300",36.6,210.0,0.004973644719356558,0.38266322224500543,0.8624423930716331,"Arc A350, Radeon PRO W6300, Radeon RX 7400, RTX A1000, T600",0.8063446468473979,1.0,1.0,1.0,0.4
1953: KGB Unleashed,25.8,200.0,0.007241723240126198,0.10114567028596957,0.9993557792524399,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",36.6,210.0,0.004973644719356558,0.38266322224500543,0.8505055857938272,"Arc A350, Radeon PRO W6300, Radeon RX 7400, RTX A1000, T600",0.8443019660324382,1.0,1.0,1.0,0.2
3079,25.8,200.0,0.007241723240126198,0.10114567028596957,2.8809950912762714,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU",36.4,210.0,0.004935245103863482,0.3874294442478094,3.021910714208894,"Radeon RX 7400, Radeon PRO W6300, Arc A350, L4, FirePro 2460 Multi-View",0.8443019660324382,1.0,1.0,1.0,0.2
4PM,25.8,200.0,0.007241723240126198,0.10114567028596957,3.8493921664839474,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",32.6,200.0,0.0050738997839798496,0.3702194024628461,3.2459160401376095,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Arc A310, T600",0.8443019660324382,1.0,1.0,1.0,0.2
6180 the moon,25.8,200.0,0.007241723240126198,0.10114567028596957,3.8493921664839474,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",32.6,200.0,0.0050738997839798496,0.3702194024628461,3.2459160401376095,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Arc A310, T600",0.8443019660324382,1.0,1.0,1.0,0.2
8-Bit Hordes,30.4,200.0,0.00683373562271585,0.1517857492035135,0.42761984490344745,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Ryzen Z2 GPU, Arc A350",46.6,220.0,0.004014859201337387,0.5016692219997853,0.09895492669378553,"Arc A350, Radeon RX 7400, RTX A1000, T600, FirePro W5000 DVI",0.8063446468473979,1.0,1.0,1.0,0.4
8Doors: Arums Afterlife Adventure,30.4,200.0,0.00683373562271585,0.1517857492035135,0.2753809854334957,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Ryzen Z2 GPU, Arc A350",43.6,230.0,0.004278335136957515,0.46896616533015756,0.0655454472709855,"Arc A350, Radeon RX 7400, RTX A1000, T1000 8 GB, T1000",0.8063446468473979,1.0,1.0,1.0,0.4
9 Monkeys of Shaolin,48.2,233.33333333333334,0.006454428103330241,0.19886600825065465,0.3549360705647876,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF",57.0,240.0,0.004532341709497616,0.4374384612281279,0.20553765183990028,"Radeon RX 7400, RTX A1000, L4, Arc Pro A40, RTX 4000 SFF Ada Generation",0.8126787091526164,1.0,1.0,1.0,0.4
A Chair in a Room: Greenwater,70.4,250.0,0.004279577352435089,0.15301088772462496,-0.24705053739912372,"L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell, Tesla T4",94.4,270.0,0.003550851622030578,0.29723605499174754,-0.2567927652124939,"L4, RTX 4000 SFF Ada Generation, RTX PRO 4000 Blackwell SFF, Radeon Pro 5700, Radeon Pro 5700 XT",1.0,1.0,1.0,1.0,0.6
A Game Of Dwarves,25.8,200.0,0.007241723240126198,0.10114567028596957,1.8464343423210798,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU",38.8,220.0,0.004152476096085024,0.48458799180304035,1.1060353588796503,"Radeon RX 7400, Radeon PRO W6300, Arc A350, FirePro W4100, Quadro K2000D",0.8443019660324382,1.0,1.0,1.0,0.2
A Game of Thrones: The Board Game - Digital Edition,30.4,200.0,0.00683373562271585,0.1517857492035135,0.5119501448833595,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Ryzen Z2 GPU, Arc A350",41.6,220.0,0.00410810146875675,0.4900958418797261,0.15898416508613172,"Arc A350, Radeon RX 7400, T600, RTX A1000, Radeon RX 640 OEM",0.8063446468473979,1.0,1.0,1.0,0.4
A Juggler's Tale,65.0,240.0,0.0049540253613073485,0.30221267995416534,-0.2292339399609009,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell",81.6,260.0,0.003744034779074353,0.47264299148455463,-0.36182408420726714,"Radeon RX 7400, RTX 4000 SFF Ada Generation, Quadro P4000, Radeon PRO W7500, GeForce GTX 1660",0.9478815954653227,1.0,1.0,1.0,0.4
A Plague Tale 2,65.0,240.0,0.0049540253613073485,0.30221267995416534,-0.1845839035914386,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell",65.0,240.0,0.004278303351259682,0.3973898775054344,-0.30881573187725064,"Radeon RX 7400, RTX 4000 SFF Ada Generation, RTX A2000 12 GB, RTX A2000, L4",0.9840352219951628,1.0,1.0,1.0,0.6
A Valley Without Wind 2,25.8,200.0,0.007241723240126198,0.10114567028596957,17.45255574925424,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU",24.6,200.0,0.0040916709461137155,0.4921352247624249,11.206082527594004,"Radeon RX 7400, Radeon PRO W6300, Arc A350, FirePro 2270 PCIe x1, FirePro 2270",0.8443019660324382,1.0,1.0,1.0,0.2
A Virus Named TOM: Winter Wonderland,25.8,200.0,0.007241723240126198,0.10114567028596957,4.8424209761043615,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",32.6,200.0,0.004202323375112417,0.47840086740011245,3.189211186715735,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Radeon 625 OEM, Radeon R7 350 Fake Card",0.8443019660324382,1.0,1.0,1.0,0.2
A wild new world,25.8,200.0,0.007241723240126198,0.10114567028596957,3.8493921664839474,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",32.6,200.0,0.0050738997839798496,0.3702194024628461,3.2459160401376095,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Arc A310, T600",0.8443019660324382,1.0,1.0,1.0,0.2
A.I. War: Ancient Shadows,25.8,200.0,0.007241723240126198,0.10114567028596957,11.789133885463439,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU",26.0,200.0,0.004523309770240546,0.43855952004765664,8.124906153073763,"Radeon RX 7400, Arc A350, Radeon PRO W6300, GeForce GT 1030 DDR4, FirePro 2460 Multi-View",0.8443019660324382,1.0,1.0,1.0,0.2
A.I. War: Fleet Command,25.8,200.0,0.007241723240126198,0.10114567028596957,11.789133885463439,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU",26.0,200.0,0.004523309770240546,0.43855952004765664,8.124906153073763,"Radeon RX 7400, Arc A350, Radeon PRO W6300, GeForce GT 1030 DDR4, FirePro 2460 Multi-View",0.8443019660324382,1.0,1.0,1.0,0.2
ABZU,48.2,233.33333333333334,0.006454428103330241,0.19886600825065465,0.09708571637792253,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF",57.0,240.0,0.004532341709497616,0.4374384612281279,-0.02388151948893358,"Radeon RX 7400, RTX A1000, L4, Arc Pro A40, RTX 4000 SFF Ada Generation",0.8126787091526164,1.0,1.0,1.0,0.4
AGOS - A Game Of Space,70.4,250.0,0.004256660868164173,0.15754638529147008,-0.33095302865519066,"L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, Tesla T4, Tesla T4G",86.4,290.0,0.003892523868154756,0.2296142669969154,-0.3197626524245877,"L4, RTX 4000 SFF Ada Generation, RTX PRO 4000 Blackwell SFF, Tesla T10 16 GB, Tesla T4G",1.0,1.0,1.0,1.0,0.8
AKIBAS TRIP: Hellbound & Debriefed,56.6,237.5,0.005796955720903238,0.280472537251563,0.3047138568919804,"Ryzen AI Z2 Extreme GPU, Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation",57.0,240.0,0.004532341709497616,0.4374384612281279,0.10216088781945443,"Radeon RX 7400, RTX A1000, L4, Arc Pro A40, RTX 4000 SFF Ada Generation",0.8715370768264441,1.0,1.0,1.0,0.6
ANAREA Battle Royale,65.0,240.0,0.0049540253613073485,0.30221267995416534,-0.20749305158699077,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell",77.6,260.0,0.003738693593757284,0.4733953112884409,-0.36342516460706725,"Radeon RX 7400, RTX 4000 SFF Ada Generation, Quadro P4000, Radeon RX 5300 OEM, Radeon PRO W7500",0.9478815954653227,1.0,1.0,1.0,0.4
APB: Reloaded,25.8,200.0,0.007241723240126198,0.10114567028596957,3.227296849511391,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",34.6,210.0,0.005104737157749375,0.366391818059156,2.8683601299934782,"Radeon RX 7400, Radeon PRO W6300, Arc A350, Arc A310, RTX A1000",0.8443019660324382,1.0,1.0,1.0,0.2
APE OUT,25.8,200.0,0.007241723240126198,0.10114567028596957,0.6380182813054892,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU",36.6,210.0,0.004973644719356558,0.38266322224500543,0.5160693312530727,"Arc A350, Radeon PRO W6300, Radeon RX 7400, RTX A1000, T600",0.8443019660324382,1.0,1.0,1.0,0.2
ARK: Survival Evolved,65.0,240.0,0.0049540253613073485,0.30221267995416534,0.021811193169791878,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell",60.6,240.0,0.003812264225670878,0.46303269698330995,-0.28876876607458757,"Radeon RX 7400, RTX A1000, GeForce RTX 3050 6 GB, RTX 4000 SFF Ada Generation, RTX A2000 12 GB",0.9478815954653227,1.0,1.0,1.0,0.4
